Timestamp, Q1.  What is your age group?  ,Q2.  What is your approximate monthly income (in Naira)? ,Q3.  What is your current employment status? ,Q4.  How would you describe the consistency of your income? ,Q1.  I trust that Cowrywise will keep my money safe. ,Q2.  I am confident that Cowrywise has adequate security measures to protect my personal data. ,Q3.  The fact that Cowrywise is regulated by the SEC increases my confidence in the platform. ,Q4.  I trust Cowrywise more than traditional informal savings methods like Ajo/Esusu. ,Q5.  Past negative news about Nigerian fintech companies makes me hesitant to fully trust Cowrywise. ,Q1.  How would you rate your overall financial knowledge? ,"Q2.  Before using Cowrywise, did you understand how interest on digital savings works?",Q3.   How did your level of financial knowledge influence your decision to use Cowrywise?   ,"Q4.  In your view, what would most improve your confidence in using digital savings platforms like Cowrywise? ",Q1.  How did you first hear about Cowrywise? ,"Q2.  Did seeing others save on Cowrywise (friends, family, or social media) influence your decision to join? ",Q3. Financial influencers on social media made digital savings feel more trustworthy and accessible to me.   ,Q4.  Positive reviews and testimonials online increased my confidence in using Cowrywise. ,Q1.  The Cowrywise app is easy to navigate and use. ,Q2.  The onboarding / sign-up process was straightforward and quick. ,"Q3.  Overall, my experience with Cowrywise has positively influenced my savings behaviour. "
3/19/2026 10:37:59,25 – 34,"₦100,000 – ₦250,000",Employed (Full-time),Very stable – same amount every month,Agree,Neutral,Neutral,Agree,Agree,Good – I am comfortable with most financial concepts,Partially – I had some understanding,I felt confident enough to join because of my financial knowledge,Security,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Disagree,Neutral,Agree,Agree,Agree
3/19/2026 10:39:17,35 – 44,"Above ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Neutral,Neutral,Neutral,Neutral,Neutral,Good – I am comfortable with most financial concepts,Partially – I had some understanding,Limited knowledge has prevented me from using certain features on the platform,Transparency ,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Neutral,Neutral,Neutral,Neutral,Neutral
3/19/2026 10:42:55,25 – 34,"₦250,001 – ₦500,000",Employed (Full-time),Mostly stable – occasional variation,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,"Moderate – I understand savings, interest, and some investments","No, but I learned after joining",I joined despite limited knowledge — I was curious to learn,"Accessibility, being able to walk into their branch just like a traditional bank ",Recommendation from a friend or family member,Yes — it was a major factor,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree
3/19/2026 10:43:40,25 – 34,"₦250,001 – ₦500,000",Self-employed / Entrepreneur,Moderately irregular – varies month to month,Neutral,Neutral,Agree,Neutral,Neutral,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a major factor,Neutral,Agree,Agree,Agree,Agree
3/19/2026 10:43:56,25 – 34,Prefer not to say,Employed (Part-time),Mostly stable – occasional variation,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,"Moderate – I understand savings, interest, and some investments","No, I still do not fully understand",I joined despite limited knowledge — I was curious to learn,Having clear information about how it works available online before I join,Recommendation from a friend or family member,No — it had no influence on my decision,Strongly Disagree,Strongly Disagree,Disagree,Agree,Neutral
3/19/2026 11:39:06,25 – 34,"Above ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Excellent – I am highly knowledgeable about financial products,"Yes, fully",I felt confident enough to join because of my financial knowledge,,Recommendation from a friend or family member,Yes — it was a major factor,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree
3/19/2026 12:25:53,35 – 44,"₦250,001 – ₦500,000",Self-employed / Entrepreneur,Mostly stable – occasional variation,Agree,Neutral,Agree,Agree,Agree,Basic – I understand savings but not investments,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,"transparency, able to see how my move moves and grows end to end, flexibilty and no hidden Ts $Cs or deductions.",Instagram / Twitter (X) / TikTok advertisement,Yes — it was a major factor,Neutral,Agree,Agree,Agree,Strongly Agree
3/19/2026 16:52:10,25 – 34,"Above ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Agree,Neutral,Disagree,"Moderate – I understand savings, interest, and some investments","Yes, fully",I felt confident enough to join because of my financial knowledge,N/A,Workplace or community group,No — it had no influence on my decision,Strongly Disagree,Neutral,Neutral,Neutral,Neutral
3/21/2026 9:51:44,25 – 34,"₦250,001 – ₦500,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Excellent – I am highly knowledgeable about financial products,Partially – I had some understanding,I felt confident enough to join because of my financial knowledge,Higher savings rates. more investment opportunities ,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a major factor,Agree,Strongly Agree,Agree,Agree,Agree
3/23/2026 13:15:46,25 – 34,"₦500,001 – ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Agree,Agree,Disagree,Excellent – I am highly knowledgeable about financial products,"Yes, fully",I felt confident enough to join because of my financial knowledge,Positive reviews and unrestricted access to funds,Recommendation from a friend or family member,No — it had no influence on my decision,Strongly Disagree,Strongly Agree,Agree,Agree,Agree
